Year,Longitude,Latitude,Data
1967,-105.63,40.05,339.18
1968,-105.63,40.05,341.2
1968,-35.0,54.0,332.91
1969,-155.58,19.53,342.19
1969,-105.63,40.05,345.6
1969,-35.0,54.0,354.46
1970,-155.58,19.53,397.56
1970,-105.63,40.05,346.49
1970,-35.0,54.0,381.29
1971,-156.6,71.32,365.38
1971,-155.58,19.53,328.0
1971,-154.82,19.52,343.0
1971,-105.63,40.05,362.13
1971,-35.0,54.0,334.37
1972,-170.57,-14.25,338.93
1972,-156.6,71.32,375.73
1972,-105.63,40.05,347.74
1972,-80.2,25.67,332.69
1972,-35.0,54.0,338.35
1973,-170.57,-14.25,344.2
1973,-156.6,71.32,372.71
1973,-105.63,40.05,387.64
1973,-80.2,25.67,366.59
1973,-35.0,54.0,349.27
1974,-170.57,-14.25,368.05
1974,-156.6,71.32,378.23
1974,-155.58,19.53,377.35
1974,-105.63,40.05,336.07
1974,-80.2,25.67,336.53
1975,-170.57,-14.25,343.87
1975,-156.6,71.32,349.0
1975,-24.8,-89.98,336.42
1976,-170.57,-14.25,344.38
1976,-156.6,71.32,353.85
1976,-155.58,19.53,349.02
1976,-154.82,19.52,368.87
1976,-105.63,40.05,370.65
1976,-80.2,25.67,350.88
1976,-24.8,-89.98,332.57
1977,-170.57,-14.25,353.39
1977,-156.6,71.32,344.56
1977,-155.58,19.53,352.98
1977,-154.82,19.52,362.27
1977,-105.63,40.05,368.2
1977,-80.2,25.67,341.21
1977,-24.8,-89.98,334.11
1978,-170.57,-14.25,416.1
1978,-162.72,55.2,339.53
1978,-156.6,71.32,348.77
1978,-155.58,19.53,355.59
1978,-155.47,19.83,355.57
1978,-154.82,19.52,349.57
1978,-105.63,40.05,366.54
1978,-80.2,25.67,343.4
1978,-64.0527,-64.7742,346.93
1978,-24.8,-89.98,380.92
1978,144.656,13.386,334.24
1979,-170.57,-14.25,377.3
1979,-162.72,55.2,386.39
1979,-156.6,71.32,353.73
1979,-155.58,19.53,344.54
1979,-155.47,19.83,363.05
1979,-154.82,19.52,359.05
1979,-105.63,40.05,387.8
1979,-80.2,25.67,354.0
1979,-64.75,17.75,433.07
1979,-64.0527,-64.7742,349.82
1979,-27.08,38.75,344.29
1979,-24.8,-89.98,358.01
1979,-14.4,-7.9667,360.59
1979,77.53,-37.95,357.26
1979,144.656,13.386,373.4
1980,-170.57,-14.25,361.39
1980,-162.72,55.2,363.32
1980,-156.6,71.32,364.0
1980,-155.58,19.53,375.33
1980,-155.47,19.83,372.73
1980,-154.82,19.52,356.36
1980,-119.3533,76.247,353.29
1980,-105.63,40.05,362.59
1980,-80.2,25.67,362.41
1980,-64.75,17.75,355.48
1980,-64.0527,-64.7742,361.48
1980,-27.08,38.75,363.09
1980,-24.8,-89.98,358.47
1980,-14.4,-7.9667,362.41
1980,55.5325,-4.6824,362.12
1980,77.53,-37.95,351.46
1980,144.656,13.386,362.97
1981,-170.57,-14.25,363.92
1981,-162.72,55.2,358.03
1981,-156.6,71.32,362.247
1981,-155.58,19.53,361.37
1981,-154.82,19.52,346.58
1981,-119.3533,76.247,358.41
1981,-105.63,40.05,393.75
1981,-80.2,25.67,349.07
1981,-64.75,17.75,359.03
1981,-64.0527,-64.7742,353.61
1981,-27.08,38.75,362.5
1981,-24.8,-89.98,360.1
1981,-14.4,-7.9667,346.36
1981,2.0,66.0,361.92
1981,55.5325,-4.6824,364.11
1981,77.53,-37.95,1000.47
1981,144.656,13.386,358.22
1982,-170.57,-14.25,1005.16
1982,-162.72,55.2,999.68
1982,-156.6,71.32,1000.12
1982,-155.58,19.53,1002.66
1982,-154.82,19.52,1001.46
1982,-123.9689,45.478,1001.36
1982,-119.3533,76.247,362.68
1982,-105.63,40.05,1002.56
1982,-80.2,25.67,346.65
1982,-64.75,17.75,1005.48
1982,-64.0527,-64.7742,1002.51
1982,-27.08,38.75,358.04
1982,-24.8,-89.98,356.17
1982,-14.4,-7.9667,360.34
1982,2.0,66.0,353.29
1982,55.5325,-4.6824,1004.21
1982,77.53,-37.95,349.54
1982,144.656,13.386,362.88
1983,-170.57,-14.25,363.0
1983,-162.72,55.2,363.13
1983,-156.6,71.32,353.94
1983,-155.58,19.53,381.907
1983,-154.82,19.52,353.93
1983,-123.9689,45.478,361.13
1983,-119.3533,76.247,367.48
1983,-105.63,40.05,351.71
1983,-80.2,25.67,362.21
1983,-64.75,17.75,370.75
1983,-64.0527,-64.7742,350.23
1983,-27.08,38.75,359.22
1983,-27.02,-75.56,355.55
1983,-24.8,-89.98,368.48
1983,-14.4,-7.9667,385.74
1983,2.0,66.0,363.83
1983,55.5325,-4.6824,381.97
1983,77.53,-37.95,354.68
1983,144.656,13.386,356.41
1984,-170.57,-14.25,357.26
1984,-162.72,55.2,360.28
1984,-157.1518,1.7,349.983
1984,-156.6,71.32,364.41
1984,-155.58,19.53,364.28
1984,-155.47,19.83,347.97
1984,-154.82,19.52,348.9
1984,-124.6276,48.2997,345.93
1984,-123.9689,45.478,360.11
1984,-119.3533,76.247,355.67
1984,-105.63,40.05,361.14
1984,-80.2,25.67,355.92
1984,-64.75,17.75,349.14
1984,-64.0527,-64.7742,367.5
1984,-27.08,38.75,357.0
1984,-27.02,-75.56,371.26
1984,-24.8,-89.98,377.73
1984,-14.4,-7.9667,376.89
1984,2.0,66.0,357.74
1984,55.5325,-4.6824,376.41
1984,77.53,-37.95,344.57
1984,144.656,13.386,364.6
1984,144.68,-40.68,357.73
1985,-177.37,28.22,353.2
1985,-170.57,-14.25,359.23
1985,-162.72,55.2,359.97
1985,-157.1518,1.7,351.19
1985,-156.6,71.32,371.257
1985,-155.58,19.53,375.22
1985,-154.82,19.52,353.11
1985,-124.6276,48.2997,351.62
1985,-123.9689,45.478,380.93
1985,-119.3533,76.247,366.31
1985,-105.63,40.05,372.553
1985,-80.2,25.67,357.31
1985,-64.75,17.75,350.7
1985,-64.0527,-64.7742,353.27
1985,-62.5072,82.4508,354.62
1985,-27.08,38.75,363.35
1985,-27.02,-75.56,370.57
1985,-24.8,-89.98,358.76
1985,-14.4,-7.9667,363.3
1985,2.0,66.0,355.99
1985,55.5325,-4.6824,374.9
1985,77.53,-37.95,361.8
1985,144.656,13.386,368.62
1985,144.68,-40.68,358.83
1985,174.1,52.72,351.89
1986,-177.37,28.22,353.73
1986,-170.57,-14.25,360.07
1986,-162.72,55.2,363.7
1986,-157.1518,1.7,349.18
1986,-156.6,71.32,370.28
1986,-155.58,19.53,351.48
1986,-154.82,19.52,370.86
1986,-124.6276,48.2997,360.773
1986,-123.9689,45.478,362.33
1986,-119.3533,76.247,366.31
1986,-105.63,40.05,359.41
1986,-80.2,25.67,360.37
1986,-64.75,17.75,355.12
1986,-64.0527,-64.7742,381.39
1986,-62.5072,82.4508,368.39
1986,-27.08,38.75,361.42
1986,-27.02,-75.56,361.85
1986,-24.8,-89.98,370.96
1986,-14.4,-7.9667,371.03
1986,2.0,66.0,361.64
1986,39.575,-69.0,351.92
1986,55.5325,-4.6824,351.34
1986,77.53,-37.95,356.64
1986,144.656,13.386,360.94
1986,144.68,-40.68,358.85
1986,174.1,52.72,357.36
1987,-177.37,28.22,355.69
1987,-170.57,-14.25,373.07
1987,-162.72,55.2,365.13
1987,-157.1518,1.7,350.87
1987,-156.6,71.32,363.477
1987,-155.58,19.53,354.7
1987,-154.82,19.52,355.0
1987,-124.6276,48.2997,369.237
1987,-123.9689,45.478,360.39
1987,-119.3533,76.247,357.64
1987,-105.63,40.05,368.46
1987,-80.2,25.67,396.58
1987,-64.75,17.75,371.11
1987,-64.0527,-64.7742,364.89
1987,-62.5072,82.4508,359.68
1987,-59.432,13.165,353.64
1987,-27.08,38.75,360.1
1987,-27.02,-75.56,367.65
1987,-24.8,-89.98,358.58
1987,-14.4,-7.9667,367.36
1987,2.0,66.0,359.31
1987,55.5325,-4.6824,360.19
1987,77.53,-37.95,367.94
1987,144.656,13.386,379.27
1987,144.68,-40.68,365.72
1987,174.1,52.72,359.1
1988,-177.37,28.22,357.52
1988,-170.57,-14.25,362.24
1988,-162.72,55.2,365.91
1988,-157.1518,1.7,371.86
1988,-156.6,71.32,368.11
1988,-155.58,19.53,375.83
1988,-154.82,19.52,356.79
1988,-124.6276,48.2997,364.58
1988,-123.9689,45.478,370.94
1988,-119.3533,76.247,360.86
1988,-105.63,40.05,365.04
1988,-80.2,25.67,360.82
1988,-64.75,17.75,360.6
1988,-64.0527,-64.7742,368.35
1988,-62.5072,82.4508,359.23
1988,-59.432,13.165,364.58
1988,-27.08,38.75,366.43
1988,-27.02,-75.56,374.71
1988,-24.8,-89.98,379.15
1988,-14.4,-7.9667,367.93
1988,2.0,66.0,367.63
1988,39.575,-69.0,351.46
1988,55.5325,-4.6824,363.0
1988,77.53,-37.95,367.68
1988,144.656,13.386,364.76
1988,144.68,-40.68,353.26
1988,174.1,52.72,360.53
1989,-177.37,28.22,359.88
1989,-170.57,-14.25,357.3
1989,-162.72,55.2,369.83
1989,-157.1518,1.7,356.3
1989,-156.6,71.32,375.53
1989,-155.58,19.53,366.05
1989,-154.82,19.52,359.66
1989,-124.6276,48.2997,375.3
1989,-123.9689,45.478,377.45
1989,-119.3533,76.247,379.01
1989,-105.63,40.05,358.09
1989,-80.2,25.67,365.62
1989,-64.8788,32.2647,368.7
1989,-64.75,17.75,360.43
1989,-64.6476,32.368,360.34
1989,-64.0527,-64.7742,374.42
1989,-62.5072,82.4508,369.35
1989,-59.432,13.165,376.29
1989,-38.0,-54.0,375.99
1989,-27.08,38.75,378.31
1989,-27.02,-75.56,382.43
1989,-24.8,-89.98,373.03
1989,-14.4,-7.9667,371.46
1989,2.0,66.0,363.19
1989,39.575,-69.0,361.95
1989,55.5325,-4.6824,373.41
1989,77.53,-37.95,356.6
1989,144.656,13.386,372.61
1989,144.68,-40.68,372.21
1989,174.1,52.72,366.66
1990,-177.37,28.22,361.39
1990,-170.57,-14.25,358.38
1990,-162.72,55.2,373.4
1990,-157.1518,1.7,360.34
1990,-156.6,71.32,367.68
1990,-155.58,19.53,374.17
1990,-154.82,19.52,362.86
1990,-124.6276,48.2997,370.11
1990,-123.9689,45.478,375.37
1990,-119.3533,76.247,364.32
1990,-105.63,40.05,369.12
1990,-80.2,25.67,369.56
1990,-64.8788,32.2647,365.87
1990,-64.75,17.75,359.46
1990,-64.6476,32.368,365.8
1990,-64.0527,-64.7742,356.41
1990,-62.5072,82.4508,361.88
1990,-59.432,13.165,380.15
1990,-38.0,-54.0,357.57
1990,-27.08,38.75,363.28
1990,-27.02,-75.56,369.79
1990,-24.8,-89.98,373.12
1990,-14.4,-7.9667,367.48
1990,2.0,66.0,362.36
1990,39.575,-69.0,354.44
1990,55.5325,-4.6824,361.06
1990,77.53,-37.95,372.33
1990,100.92,36.27,348.94
1990,126.13,36.73,361.31
1990,144.656,13.386,373.66
1990,144.68,-40.68,357.45
1990,174.1,52.72,379.98
1991,-177.37,28.22,362.02
1991,-170.57,-14.25,363.73
1991,-162.72,55.2,373.42
1991,-157.1518,1.7,362.65
1991,-156.6,71.32,373.14
1991,-155.58,19.53,366.54
1991,-154.82,19.52,361.23
1991,-123.9689,45.478,363.43
1991,-119.3533,76.247,380.92
1991,-105.63,40.05,368.03
1991,-80.2,25.67,374.99
1991,-64.8788,32.2647,365.51
1991,-64.6476,32.368,362.87
1991,-64.0527,-64.7742,361.13
1991,-62.5072,82.4508,366.23
1991,-59.432,13.165,363.06
1991,-38.0,-54.0,358.49
1991,-27.08,38.75,381.22
1991,-26.21,-75.605,367.39
1991,-24.8,-89.98,360.34
1991,-16.48,28.3,357.31
1991,-14.4,-7.9667,366.15
1991,-9.9,53.33,368.14
1991,2.0,66.0,370.42
1991,39.575,-69.0,363.68
1991,51.8478,-46.4337,357.87
1991,55.5325,-4.6824,372.42
1991,100.92,36.27,361.0
1991,126.13,36.73,374.4
1991,144.656,13.386,374.36
1991,144.68,-40.68,361.6
1991,174.1,52.72,366.62
1992,-177.37,28.22,361.97
1992,-170.57,-14.25,363.41
1992,-162.72,55.2,370.49
1992,-157.1518,1.7,360.59
1992,-156.6,71.32,369.51
1992,-155.58,19.53,365.56
1992,-154.82,19.52,362.27
1992,-123.9689,45.478,366.12
1992,-119.3533,76.247,375.25
1992,-105.63,40.05,368.18
1992,-80.2,25.67,370.77
1992,-64.8788,32.2647,362.54
1992,-64.6476,32.368,364.74
1992,-64.0527,-64.7742,358.08
1992,-62.5072,82.4508,367.16
1992,-59.432,13.165,360.2
1992,-38.0,-54.0,361.71
1992,-27.08,38.75,359.87
1992,-26.21,-75.605,360.4
1992,-24.8,-89.98,370.6
1992,-20.2884,63.3998,366.2
1992,-16.48,28.3,373.23
1992,-14.4,-7.9667,363.26
1992,-9.9,53.33,368.94
1992,-9.73,53.33,359.45
1992,2.0,66.0,364.3
1992,16.67,55.5,376.7
1992,16.95,55.43,362.81
1992,39.575,-69.0,356.08
1992,51.8478,-46.4337,362.41
1992,55.5325,-4.6824,365.13
1992,100.92,36.27,364.8
1992,111.0956,44.4516,364.55
1992,126.13,36.73,376.64
1992,144.656,13.386,363.02
1992,144.68,-40.68,355.42
1992,174.1,52.72,365.21
1993,-177.37,28.22,363.2
1993,-170.57,-14.25,362.19
1993,-162.72,55.2,377.82
1993,-157.1518,1.7,360.57
1993,-156.6,71.32,369.43
1993,-155.58,19.53,374.43
1993,-154.82,19.52,362.97
1993,-123.9689,45.478,366.09
1993,-119.3533,76.247,365.25
1993,-113.7181,39.9018,368.36
1993,-105.63,40.05,365.54
1993,-105.58,40.05,366.49
1993,-80.2,25.67,383.67
1993,-64.8788,32.2647,366.15
1993,-64.6476,32.368,363.84
1993,-64.0527,-64.7742,361.3
1993,-62.5072,82.4508,364.15
1993,-59.432,13.165,363.03
1993,-26.21,-75.605,365.9
1993,-24.8,-89.98,363.81
1993,-20.2884,63.3998,366.99
1993,-16.48,28.3,361.76
1993,-14.4,-7.9667,369.38
1993,-9.9,53.33,368.67
1993,-9.73,53.33,364.55
1993,2.0,66.0,368.64
1993,14.889,36.048,360.66
1993,16.6521,46.9559,375.45
1993,16.67,55.5,364.08
1993,16.95,55.43,376.03
1993,39.575,-69.0,370.89
1993,51.8478,-46.4337,373.4
1993,55.5325,-4.6824,373.46
1993,100.92,36.27,368.24
1993,111.0956,44.4516,366.51
1993,126.13,36.73,371.84
1993,144.656,13.386,365.97
1993,144.68,-40.68,356.52
1993,174.1,52.72,365.53
1994,-177.37,28.22,365.29
1994,-170.57,-14.25,361.13
1994,-162.72,55.2,367.37
1994,-157.1518,1.7,362.32
1994,-156.6,71.32,389.69
1994,-155.58,19.53,363.45
1994,-154.82,19.52,369.54
1994,-123.9689,45.478,387.29
1994,-119.3533,76.247,369.3
1994,-113.7181,39.9018,381.14
1994,-109.45,-27.15,363.87
1994,-105.58,40.05,364.16
1994,-90.27,45.93,377.6
1994,-80.2,25.67,385.5
1994,-68.4758,-54.8675,367.58
1994,-64.8788,32.2647,364.88
1994,-64.6476,32.368,396.24
1994,-64.0527,-64.7742,416.27
1994,-62.5072,82.4508,365.67
1994,-59.432,13.165,406.16
1994,-27.38,38.77,354.69
1994,-26.21,-75.605,363.99
1994,-24.8,-89.98,375.36
1994,-20.2884,63.3998,365.63
1994,-16.48,28.3,362.38
1994,-14.4,-7.9667,364.8
1994,-9.9,53.33,374.88
1994,2.0,66.0,410.66
1994,11.8883,78.9067,416.41
1994,14.889,36.048,368.46
1994,16.6521,46.9559,390.34
1994,16.95,55.43,382.37
1994,28.6647,44.1776,365.92
1994,39.575,-69.0,357.83
1994,51.8478,-46.4337,361.24
1994,55.5325,-4.6824,370.69
1994,100.92,36.27,374.95
1994,111.0956,44.4516,368.21
1994,126.13,36.73,377.38
1994,144.656,13.386,395.32
1994,144.68,-40.68,357.73
1994,174.1,52.72,366.64
1995,-177.37,28.22,365.58
1995,-170.57,-14.25,403.7
1995,-162.72,55.2,380.02
1995,-157.1518,1.7,364.18
1995,-156.6,71.32,396.19
1995,-155.58,19.53,364.96
1995,-154.82,19.52,370.85
1995,-123.9689,45.478,373.17
1995,-119.3533,76.247,408.85
1995,-113.7181,39.9018,370.46
1995,-109.45,-27.15,379.26
1995,-105.58,40.05,367.49
1995,-90.27,45.93,386.76
1995,-80.2,25.67,404.88
1995,-68.4758,-54.8675,363.65
1995,-68.3106,-54.8484,359.36
1995,-64.8788,32.2647,366.43
1995,-64.6476,32.368,367.26
1995,-64.0527,-64.7742,360.44
1995,-62.5072,82.4508,368.01
1995,-59.432,13.165,411.12
1995,-27.38,38.77,365.79
1995,-26.21,-75.605,359.62
1995,-24.8,-89.98,379.07
1995,-20.2884,63.3998,366.38
1995,-16.48,28.3,365.29
1995,-14.4,-7.9667,384.44
1995,-9.9,53.33,381.37
1995,2.0,66.0,371.08
1995,5.6322,23.2625,361.83
1995,11.8883,78.9067,384.43
1995,14.889,36.048,367.86
1995,16.6521,46.9559,398.95
1995,16.95,55.43,408.95
1995,28.6647,44.1776,381.13
1995,34.7809,30.8595,368.8
1995,39.575,-69.0,359.8
1995,51.8478,-46.4337,406.66
1995,55.5325,-4.6824,364.54
1995,100.92,36.27,386.19
1995,111.0956,44.4516,369.6
1995,126.13,36.73,373.45
1995,144.656,13.386,379.45
1995,144.68,-40.68,360.0
1995,174.1,52.72,387.99
1996,-177.37,28.22,368.75
1996,-170.57,-14.25,418.39
1996,-162.72,55.2,399.63
1996,-157.1518,1.7,364.07
1996,-156.6,71.32,444.2
1996,-155.58,19.53,382.58
1996,-154.82,19.52,371.5
1996,-123.9689,45.478,369.32
1996,-119.3533,76.247,396.83
1996,-113.7181,39.9018,372.77
1996,-109.45,-27.15,367.11
1996,-105.58,40.05,368.44
1996,-90.27,45.93,406.86
1996,-90.12,45.83,358.86
1996,-80.2,25.67,403.52
1996,-68.3106,-54.8484,363.45
1996,-64.8788,32.2647,378.47
1996,-64.6476,32.368,420.11
1996,-64.0527,-64.7742,374.56
1996,-62.5072,82.4508,369.11
1996,-59.432,13.165,371.29
1996,-27.38,38.77,393.76
1996,-26.21,-75.605,360.92
1996,-24.8,-89.98,414.31
1996,-20.2884,63.3998,369.59
1996,-16.48,28.3,368.62
1996,-14.4,-7.9667,404.48
1996,-9.9,53.33,395.07
1996,2.0,66.0,374.83
1996,5.6322,23.2625,365.37
1996,11.8883,78.9067,403.4
1996,14.889,36.048,369.2
1996,16.6521,46.9559,393.25
1996,16.95,55.43,397.96
1996,28.6647,44.1776,393.23
1996,34.7809,30.8595,372.51
1996,39.575,-69.0,402.71
1996,51.8478,-46.4337,370.26
1996,55.5325,-4.6824,429.09
1996,100.92,36.27,371.29
1996,111.0956,44.4516,451.32
1996,126.13,36.73,373.76
1996,144.656,13.386,440.49
1996,144.68,-40.68,371.3
1996,174.1,52.72,371.42
1997,-177.37,28.22,371.32
1997,-170.57,-14.25,555.16
1997,-162.72,55.2,450.13
1997,-157.1518,1.7,364.41
1997,-156.6,71.32,451.96
1997,-155.58,19.53,548.23
1997,-154.82,19.52,441.69
1997,-123.9689,45.478,380.63
1997,-119.3533,76.247,385.74
1997,-113.7181,39.9018,445.48
1997,-109.45,-27.15,365.32
1997,-105.58,40.05,371.64
1997,-90.27,45.93,426.63
1997,-80.2,25.67,372.82
1997,-68.3106,-54.8484,386.86
1997,-64.8788,32.2647,371.17
1997,-64.6476,32.368,369.82
1997,-64.0527,-64.7742,365.19
1997,-62.5072,82.4508,372.65
1997,-59.432,13.165,459.33
1997,-38.422,72.5962,368.2
1997,-27.38,38.77,370.12
1997,-26.21,-75.605,415.47
1997,-24.8,-89.98,411.21
1997,-20.2884,63.3998,374.38
1997,-16.48,28.3,367.75
1997,-14.4,-7.9667,446.79
1997,-9.9,53.33,381.35
1997,2.0,66.0,376.53
1997,5.6322,23.2625,435.34
1997,11.8883,78.9067,495.17
1997,14.889,36.048,375.43
1997,15.03,-23.58,366.3
1997,16.0,55.0,356.18
1997,16.6521,46.9559,448.55
1997,16.95,55.43,392.46
1997,18.53,54.53,393.15
1997,28.6647,44.1776,401.28
1997,34.7809,30.8595,441.05
1997,39.575,-69.0,362.47
1997,51.8478,-46.4337,363.1
1997,55.5325,-4.6824,676.43
1997,75.57,44.45,375.55
1997,77.88,43.25,369.3
1997,100.92,36.27,370.31
1997,111.0956,44.4516,372.67
1997,126.13,36.73,519.7
1997,144.656,13.386,526.73
1997,144.68,-40.68,364.79
1997,174.1,52.72,406.13
1998,-177.37,28.22,372.0
1998,-170.57,-14.25,367.05
1998,-162.72,55.2,582.7
1998,-157.1518,1.7,367.25
1998,-156.6,71.32,383.51
1998,-155.58,19.53,393.55
1998,-154.82,19.52,486.29
1998,-123.9689,45.478,375.01
1998,-113.7181,39.9018,374.47
1998,-109.45,-27.15,422.02
1998,-105.58,40.05,371.87
1998,-90.27,45.93,380.97
1998,-80.2,25.67,389.34
1998,-68.3106,-54.8484,365.21
1998,-64.8788,32.2647,373.66
1998,-64.6476,32.368,372.73
1998,-64.0527,-64.7742,506.29
1998,-62.5072,82.4508,378.52
1998,-59.432,13.165,378.03
1998,-38.422,72.5962,371.24
1998,-27.38,38.77,369.83
1998,-27.08,38.75,371.47
1998,-26.21,-75.605,380.56
1998,-24.8,-89.98,705.63
1998,-20.2884,63.3998,385.2
1998,-16.48,28.3,484.46
